frequency_hz,amplitude_percent
0.291976031522152,0.00347722501317272
0.34063870344251,0.00144478386392718
0.389301375362869,0.00359299628849814
0.437964047283228,0.0150419268957761
0.486626719203586,0.025143539344713
0.535289391123945,0.0181771097562049
0.583952063044303,0.03109338357805
0.632614734964662,0.0326443003542241
0.681277406885021,0.0174197511850303
0.729940078805379,0.00805595327467965
0.778602750725738,0.0032137583407817
0.827265422646096,0.00676457902925871
0.875928094566455,0.00607829739176345
0.924590766486814,0.00530400648068376
0.973253438407172,0.01593243243808
1.02191611032753,0.0256282948553565
1.07057878224789,0.026389151779891
1.11924145416825,0.0192900928846178
1.16790412608861,0.0086150792843251
1.21656679800897,0.00083213258536275
1.26522946992932,0.000877202018500288
1.31389214184968,0.000981461319815891
1.36255481377004,0.00146376312327644
1.4112174856904,0.000367449672611229
1.45988015761076,0.0013545654569843
1.50854282953112,0.00264758503554619
1.55720550145148,0.00241205871750211
1.60586817337183,0.00153401108481672
1.65453084529219,0.00195002477482391
1.70319351721255,0.000573022179919532
1.75185618913291,0.00174508129787305
1.80051886105327,0.00221429504110035
1.84918153297363,0.00145811582897345
1.89784420489399,0.00175693592232495
1.94650687681434,0.0017059864844629
1.9951695487347,0.00150208171929149
2.04383222065506,0.000985036032602647
2.09249489257542,0.000667629360649604
2.14115756449578,0.00232297650612718
2.18982023641614,0.00299889359384316
2.2384829083365,0.00198983799780675
2.28714558025685,0.000866133429005594
2.33580825217721,0.00252785478921425
2.38447092409757,0.00267339004664466
2.43313359601793,0.00138158492957393
2.48179626793829,0.000948032138816995
2.53045893985865,0.00154165928887484
2.57912161177901,0.00269674640996275
2.62778428369936,0.00244541765142422
2.67644695561972,0.0021393474641335
2.72510962754008,0.00208502495086493
2.77377229946044,0.00234000135541443
2.8224349713808,0.00216598729237754
2.87109764330116,0.00101342728762599
2.91976031522152,0.000797818598952617
2.96842298714188,0.00103573644793098
3.01708565906223,0.00124210862128329
3.06574833098259,0.00219312595120253
3.11441100290295,0.00290880560365668
3.16307367482331,0.00220452673779546
3.21173634674367,0.00134679563399327
3.26039901866403,0.000921848984075254
3.30906169058439,0.000586813911222588
3.35772436250474,0.00104403384516061
3.4063870344251,0.00152421175976355
3.45504970634546,0.00217165317001567
3.50371237826582,0.00190567489676563
3.55237505018618,0.000605480170934286
3.60103772210654,0.000998501594934583
3.6497003940269,0.00200170409527569
3.69836306594725,0.00204387839945151
3.74702573786761,0.000656298581015231
3.79568840978797,0.000443333593554084
3.84435108170833,0.00125277689986211
3.89301375362869,0.00245187408971768
3.94167642554905,0.00255615009189551
3.99033909746941,0.00194186037365767
4.03900176938976,0.00099830489603771
4.08766444131012,0.00232503591093553
4.13632711323048,0.00875727891697568
4.18498978515084,0.0146770993793294
4.2336524570712,0.0119034286036293
4.28231512899156,0.00407802297277169
4.33097780091192,0.00267571693903622
4.37964047283228,0.00270361611468226
4.42830314475263,0.00229768639110813
4.47696581667299,0.00222555215640428
4.52562848859335,0.00141913363011672
4.57429116051371,0.000282292764675482
4.62295383243407,0.00140538510622144
4.67161650435443,0.0015382812626158
4.72027917627479,0.00140511678048072
4.76894184819514,0.00123216747215661
4.8176045201155,0.000664255787832018
4.86626719203586,0.00160943700139092
4.91492986395622,0.00153017805979357
4.96359253587658,0.000924556492297706
5.01225520779694,0.000943998321866686
5.0609178797173,0.00110625055995992
5.10958055163765,0.00114337101776587
5.15824322355801,0.000636997992540235
5.20690589547837,0.000124228920453813
5.25556856739873,0.000567356935486402
5.30423123931909,0.000386738802392537
5.35289391123945,0.000360133340790544
5.40155658315981,0.000127077055722988
5.45021925508016,0.0009818899154811
5.49888192700052,0.00105437702116584
5.54754459892088,0.00104824639522405
5.59620727084124,0.0021504363169304
5.6448699427616,0.00208917532476932
5.69353261468196,0.00172587271916078
5.74219528660232,0.001526637269933
5.79085795852268,0.00100541866876478
5.83952063044303,0.00037803810215817
5.88818330236339,0.000259759996779594
5.93684597428375,0.000724481328769735
5.98550864620411,0.000838956931545426
